month,category,amount,type
2025-01,Groceries,620,Budget
2025-01,Dining out,240,Budget
2025-01,Rent,1900,Budget
2025-01,Transport,210,Budget
2025-01,Utilities,185,Budget
2025-01,Entertainment,140,Budget
2025-01,Health,120,Budget
2025-01,Shopping,260,Budget
2025-01,Travel,0,Budget
2025-01,Subscriptions,55,Budget
2025-01,Insurance,130,Budget
2025-01,Gym,45,Budget
2025-01,Salary,13330.0,Income
2025-02,Groceries,620,Budget
2025-02,Dining out,240,Budget
2025-02,Rent,1900,Budget
2025-02,Transport,210,Budget
2025-02,Utilities,185,Budget
2025-02,Entertainment,140,Budget
2025-02,Health,120,Budget
2025-02,Shopping,260,Budget
2025-02,Travel,0,Budget
2025-02,Subscriptions,55,Budget
2025-02,Insurance,130,Budget
2025-02,Gym,45,Budget
2025-02,Salary,13330.0,Income
2025-03,Groceries,620,Budget
2025-03,Dining out,240,Budget
2025-03,Rent,1900,Budget
2025-03,Transport,210,Budget
2025-03,Utilities,185,Budget
2025-03,Entertainment,140,Budget
2025-03,Health,120,Budget
2025-03,Shopping,260,Budget
2025-03,Travel,0,Budget
2025-03,Subscriptions,55,Budget
2025-03,Insurance,130,Budget
2025-03,Gym,45,Budget
2025-03,Salary,13330.0,Income
2025-04,Groceries,620,Budget
2025-04,Dining out,240,Budget
2025-04,Rent,1900,Budget
2025-04,Transport,210,Budget
2025-04,Utilities,185,Budget
2025-04,Entertainment,140,Budget
2025-04,Health,120,Budget
2025-04,Shopping,260,Budget
2025-04,Travel,0,Budget
2025-04,Subscriptions,55,Budget
2025-04,Insurance,130,Budget
2025-04,Gym,45,Budget
2025-04,Salary,13330.0,Income
2025-05,Groceries,620,Budget
2025-05,Dining out,240,Budget
2025-05,Rent,1900,Budget
2025-05,Transport,210,Budget
2025-05,Utilities,185,Budget
2025-05,Entertainment,140,Budget
2025-05,Health,120,Budget
2025-05,Shopping,260,Budget
2025-05,Travel,0,Budget
2025-05,Subscriptions,55,Budget
2025-05,Insurance,130,Budget
2025-05,Gym,45,Budget
2025-05,Salary,13330.0,Income
2025-06,Groceries,620,Budget
2025-06,Dining out,240,Budget
2025-06,Rent,1900,Budget
2025-06,Transport,210,Budget
2025-06,Utilities,185,Budget
2025-06,Entertainment,140,Budget
2025-06,Health,120,Budget
2025-06,Shopping,260,Budget
2025-06,Travel,0,Budget
2025-06,Subscriptions,55,Budget
2025-06,Insurance,130,Budget
2025-06,Gym,45,Budget
2025-06,Salary,13330.0,Income
2025-07,Groceries,620,Budget
2025-07,Dining out,240,Budget
2025-07,Rent,1900,Budget
2025-07,Transport,210,Budget
2025-07,Utilities,185,Budget
2025-07,Entertainment,140,Budget
2025-07,Health,120,Budget
2025-07,Shopping,260,Budget
2025-07,Travel,0,Budget
2025-07,Subscriptions,55,Budget
2025-07,Insurance,130,Budget
2025-07,Gym,45,Budget
2025-07,Salary,13330.0,Income
2025-08,Groceries,620,Budget
2025-08,Dining out,240,Budget
2025-08,Rent,1900,Budget
2025-08,Transport,210,Budget
2025-08,Utilities,185,Budget
2025-08,Entertainment,140,Budget
2025-08,Health,120,Budget
2025-08,Shopping,260,Budget
2025-08,Travel,0,Budget
2025-08,Subscriptions,55,Budget
2025-08,Insurance,130,Budget
2025-08,Gym,45,Budget
2025-08,Salary,13330.0,Income
2025-09,Groceries,620,Budget
2025-09,Dining out,240,Budget
2025-09,Rent,1900,Budget
2025-09,Transport,210,Budget
2025-09,Utilities,185,Budget
2025-09,Entertainment,140,Budget
2025-09,Health,120,Budget
2025-09,Shopping,260,Budget
2025-09,Travel,0,Budget
2025-09,Subscriptions,55,Budget
2025-09,Insurance,130,Budget
2025-09,Gym,45,Budget
2025-09,Salary,13330.0,Income
2025-10,Groceries,620,Budget
2025-10,Dining out,240,Budget
2025-10,Rent,1900,Budget
2025-10,Transport,210,Budget
2025-10,Utilities,185,Budget
2025-10,Entertainment,140,Budget
2025-10,Health,120,Budget
2025-10,Shopping,260,Budget
2025-10,Travel,0,Budget
2025-10,Subscriptions,55,Budget
2025-10,Insurance,130,Budget
2025-10,Gym,45,Budget
2025-10,Salary,13330.0,Income
2025-11,Groceries,620,Budget
2025-11,Dining out,240,Budget
2025-11,Rent,1900,Budget
2025-11,Transport,210,Budget
2025-11,Utilities,185,Budget
2025-11,Entertainment,140,Budget
2025-11,Health,120,Budget
2025-11,Shopping,260,Budget
2025-11,Travel,0,Budget
2025-11,Subscriptions,55,Budget
2025-11,Insurance,130,Budget
2025-11,Gym,45,Budget
2025-11,Salary,13330.0,Income
2025-12,Groceries,620,Budget
2025-12,Dining out,240,Budget
2025-12,Rent,1900,Budget
2025-12,Transport,210,Budget
2025-12,Utilities,185,Budget
2025-12,Entertainment,140,Budget
2025-12,Health,120,Budget
2025-12,Shopping,260,Budget
2025-12,Travel,0,Budget
2025-12,Subscriptions,55,Budget
2025-12,Insurance,130,Budget
2025-12,Gym,45,Budget
2025-12,Salary,13330.0,Income
