date,payee,category,amount,account,type
2025-01-03,Riverside Properties,Rent,-1900,Checking,expense
2025-01-03,Riverside Properties,Rent,-7.76,Credit card,expense
2025-01-03,Riverside Properties,Rent,-2.11,Credit card,expense
2025-01-04,Auto Insurance,Insurance,-130,Checking,expense
2025-01-04,Fitness Planet,Gym,-45,Checking,expense
2025-01-04,Riverside Properties,Rent,-3.51,Checking,expense
2025-01-05,Payroll,Salary,6200,Checking,income
2025-01-05,Riverside Properties,Rent,-1.52,Credit card,expense
2025-01-06,Netflix,Subscriptions,-15.49,Credit card,expense
2025-01-06,Riverside Properties,Rent,-5.78,Credit card,expense
2025-01-06,Spotify,Subscriptions,-11.99,Credit card,expense
2025-01-07,Riverside Properties,Rent,-2.16,Credit card,expense
2025-01-07,Safeway,Groceries,-22.7,Checking,expense
2025-01-08,Hydro Co,Utilities,-138.01,Credit card,expense
2025-01-08,Riverside Properties,Rent,-7.63,Credit card,expense
2025-01-08,Trader Joe's,Groceries,-134.07,Checking,expense
2025-01-09,Pizza Place,Dining out,-114.68,Credit card,expense
2025-01-09,Riverside Properties,Rent,-6.7,Checking,expense
2025-01-09,Riverside Properties,Rent,-3.73,Credit card,expense
2025-01-10,Riverside Properties,Rent,-0.08,Credit card,expense
2025-01-11,Cinema,Entertainment,-42.82,Credit card,expense
2025-01-11,Mobile Carrier,Utilities,-48.7,Credit card,expense
2025-01-12,Costco,Groceries,-45.49,Checking,expense
2025-01-12,Sushi Bar,Dining out,-68.14,Checking,expense
2025-01-13,Best Buy,Shopping,-63.02,Credit card,expense
2025-01-13,Costco,Groceries,-128.4,Checking,expense
2025-01-13,Riverside Properties,Rent,-1.95,Credit card,expense
2025-01-15,Internet Co,Utilities,-24.96,Checking,expense
2025-01-15,Riverside Properties,Rent,-3.77,Credit card,expense
2025-01-15,Riverside Properties,Rent,-2.55,Checking,expense
2025-01-16,Riverside Properties,Rent,-0.22,Credit card,expense
2025-01-18,Riverside Properties,Rent,-3.21,Checking,expense
2025-01-18,Steam,Entertainment,-31.23,Credit card,expense
